apartment_slug,name,area
ada-gm-01,Garažno mjesto,15.30
ada-gm-02,Garažno mjesto,15.30
ada-gm-03,Garažno mjesto,14.80
ada-gm-04,Garažno mjesto,13.86
ada-gm-05,Garažno mjesto,13.39
ada-gm-06,Garažno mjesto,15.57
ada-gm-07,Garažno mjesto,15.88
ada-gm-08,Garažno mjesto,16.15
ada-gm-09,Garažno mjesto,16.16
ada-gm-10,Garažno mjesto,15.89
ada-gm-11,Garažno mjesto,16.16
ada-gm-12,Garažno mjesto,14.76
ada-gm-13,Garažno mjesto,14.58
ada-gm-14,Garažno mjesto,24.89
ada-gm-15,Garažno mjesto,14.37
ada-gm-16,Garažno mjesto,14.49
ada-gm-17,Garažno mjesto,18.16
ada-gm-18,Garažno mjesto,19.53
ada-stan-01,Dnevni boravak + trpezarija + kuhinja,23.93
ada-stan-01,Hodnik,7.25
ada-stan-01,Kupatilo,6.42
ada-stan-01,Lođa,2.35
ada-stan-01,Spavaća soba,8.98
ada-stan-02,Dnevni boravak + trpezarija,19.23
ada-stan-02,Kuhinja,6.66
ada-stan-02,Hodnik,4.20
ada-stan-02,Kupatilo,5.04
ada-stan-02,Lođa,3.97
ada-stan-02,Spavaća soba,9.07
ada-stan-03,Dnevni boravak + trpezarija,22.96
ada-stan-03,Kuhinja,6.13
ada-stan-03,Hodnik,7.71
ada-stan-03,Kupatilo,5.25
ada-stan-03,Lođa,4.75
ada-stan-03,Spavaća soba,11.12
ada-stan-03,Spavaća soba,11.62
ada-stan-04,Dnevni boravak + trpezarija,19.20
ada-stan-04,Kuhinja,5.21
ada-stan-04,Hodnik,4.83
ada-stan-04,Kupatilo,4.87
ada-stan-04,Lođa,3.06
ada-stan-04,Spavaća soba,11.70
ada-stan-05,Dnevni boravak + trpezarija,23.83
ada-stan-05,Kuhinja,6.35
ada-stan-05,Hodnik,8.09
ada-stan-05,Kupatilo,4.92
ada-stan-05,Lođa,3.34
ada-stan-05,Spavaća soba,11.01
